Organization_Name,Monitoring_Location_ID,Monitoring_Location_Name,DEP_Latitude,DEP_Longitude,Activity_Start_Date,DEP_Analyte_Name,DEP_Result_Value_Number,DEP_Result_Unit,Bay_Section_1
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0013,Rattlesnake Lake Center,30.4598,-85.5664,01/13/2020,Salinity,0,PSU,Swift Creek Swamp
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0013,Rattlesnake Lake Center,30.4598,-85.5664,01/13/2020,Salinity,0,PSU,Swift Creek Swamp
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0013,Rattlesnake Lake Center,30.4598,-85.5664,10/28/2019,Salinity,0,PSU,Swift Creek Swamp
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0013,Rattlesnake Lake Center,30.4598,-85.5664,09/24/2019,Salinity,0,PSU,Swift Creek Swamp
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0013,Rattlesnake Lake Center,30.4598,-85.5664,08/19/2020,Salinity,0,PSU,Swift Creek Swamp
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0013,Rattlesnake Lake Center,30.4598,-85.5664,07/09/2020,Salinity,0,PSU,Swift Creek Swamp
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0013,Rattlesnake Lake Center,30.4598,-85.5664,01/27/2021,Salinity,0,PSU,Swift Creek Swamp
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0013,Rattlesnake Lake Center,30.4598,-85.5664,03/31/2021,Salinity,0,PSU,Swift Creek Swamp
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0013,Rattlesnake Lake Center,30.4598,-85.5664,03/31/2021,Salinity,0,PSU,Swift Creek Swamp
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0013,Rattlesnake Lake Center,30.4598,-85.5664,06/08/2021,Salinity,0,PSU,Swift Creek Swamp
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0013,Rattlesnake Lake Center,30.4598,-85.5664,06/08/2021,Salinity,0,PSU,Swift Creek Swamp
FDEP WATERSHED ASSESSMENT SECTION,G3WA0017,Deadenings Lake,30.49361999,-85.58939,07/27/2021,Salinity,0,PSU,Hamlin Lake
FDEP NORTHWEST REGIONAL OPERATIONS CENTER,32030097,Porter Lake,30.50789999,-85.5385,05/19/2021,Salinity,0,PSU,Porter Lake
FDEP NORTHWEST REGIONAL OPERATIONS CENTER,32030097,Porter Lake,30.50789999,-85.5385,05/19/2021,Salinity,0,PSU,Porter Lake
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0020,Gap Lake Middle,30.55059999,-85.5697,07/25/2023,Salinity,0,PSU,Gap Lake
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0037,Sandy Creek Upstream Boat Ramp,30.1145,-85.4172,06/13/2019,Salinity,0.01,PSU,Sandy Creek
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0037,Sandy Creek Upstream Boat Ramp,30.1145,-85.4172,06/13/2019,Salinity,0.01,PSU,Sandy Creek
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0037,Sandy Creek Upstream Boat Ramp,30.1145,-85.4172,09/27/2021,Salinity,0.01,PSU,Sandy Creek
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0037,Sandy Creek Upstream Boat Ramp,30.1145,-85.4172,09/27/2021,Salinity,0.01,PSU,Sandy Creek
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0037,Sandy Creek Upstream Boat Ramp,30.1145,-85.4172,08/03/2022,Salinity,0.01,PSU,Sandy Creek
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0037,Sandy Creek Upstream Boat Ramp,30.1145,-85.4172,08/03/2022,Salinity,0.01,PSU,Sandy Creek
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0017,Mule Creek @ Alvie Holmes Rd,30.11489999,-85.4208,01/25/2021,Salinity,0.01,PSU,Mule Creek
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0017,Mule Creek @ Alvie Holmes Rd,30.11489999,-85.4208,01/25/2021,Salinity,0.01,PSU,Mule Creek
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0017,Mule Creek @ Alvie Holmes Rd,30.11489999,-85.4208,08/03/2021,Salinity,0.01,PSU,Mule Creek
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0017,Mule Creek @ Alvie Holmes Rd,30.11489999,-85.4208,09/27/2021,Salinity,0.01,PSU,Mule Creek
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0017,Mule Creek @ Alvie Holmes Rd,30.11489999,-85.4208,07/26/2021,Salinity,0.01,PSU,Mule Creek
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0017,Mule Creek @ Alvie Holmes Rd,30.11489999,-85.4208,07/26/2021,Salinity,0.01,PSU,Mule Creek
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0017,Mule Creek @ Alvie Holmes Rd,30.11489999,-85.4208,11/01/2021,Salinity,0.01,PSU,Mule Creek
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0017,Mule Creek @ Alvie Holmes Rd,30.11489999,-85.4208,11/01/2021,Salinity,0.01,PSU,Mule Creek
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0017,Mule Creek @ Alvie Holmes Rd,30.11489999,-85.4208,09/27/2021,Salinity,0.01,PSU,Mule Creek
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0017,Mule Creek @ Alvie Holmes Rd,30.11489999,-85.4208,08/03/2022,Salinity,0.01,PSU,Mule Creek
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0017,Mule Creek @ Alvie Holmes Rd,30.11489999,-85.4208,08/03/2022,Salinity,0.01,PSU,Mule Creek
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0017,Mule Creek @ Alvie Holmes Rd,30.11489999,-85.4208,02/28/2023,Salinity,0.01,PSU,Mule Creek
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0001,Sandy Creek,30.14095,-85.40709,09/25/2019,Salinity,0.01,PSU,Sandy Creek
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0001,Sandy Creek,30.14095,-85.40709,06/25/2020,Salinity,0.01,PSU,Sandy Creek
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0001,Sandy Creek,30.14095,-85.40709,08/05/2020,Salinity,0.01,PSU,Sandy Creek
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0001,Sandy Creek,30.14095,-85.40709,11/03/2020,Salinity,0.01,PSU,Sandy Creek
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0001,Sandy Creek,30.14095,-85.40709,10/27/2020,Salinity,0.01,PSU,Sandy Creek
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0001,Sandy Creek,30.14095,-85.40709,12/03/2020,Salinity,0.01,PSU,Sandy Creek
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0001,Sandy Creek,30.14095,-85.40709,01/25/2021,Salinity,0.01,PSU,Sandy Creek
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0001,Sandy Creek,30.14095,-85.40709,03/25/2021,Salinity,0.01,PSU,Sandy Creek
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0001,Sandy Creek,30.14095,-85.40709,10/13/2020,Salinity,0.01,PSU,Sandy Creek
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0001,Sandy Creek,30.14095,-85.40709,05/26/2021,Salinity,0.01,PSU,Sandy Creek
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0001,Sandy Creek,30.14095,-85.40709,07/26/2021,Salinity,0.01,PSU,Sandy Creek
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0001,Sandy Creek,30.14095,-85.40709,09/27/2021,Salinity,0.01,PSU,Sandy Creek
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0001,Sandy Creek,30.14095,-85.40709,01/27/2022,Salinity,0.01,PSU,Sandy Creek
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0001,Sandy Creek,30.14095,-85.40709,03/07/2022,Salinity,0.01,PSU,Sandy Creek
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0001,Sandy Creek,30.14095,-85.40709,06/16/2022,Salinity,0.01,PSU,Sandy Creek
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0001,Sandy Creek,30.14095,-85.40709,08/03/2022,Salinity,0.01,PSU,Sandy Creek
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0001,Sandy Creek,30.14095,-85.40709,10/06/2022,Salinity,0.01,PSU,Sandy Creek
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0027,Sandy Branch @ SR22,30.1431,-85.285,09/05/2019,Salinity,0.01,PSU,Sandy Branch
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0027,Sandy Branch @ SR22,30.1431,-85.285,01/28/2020,Salinity,0.01,PSU,Sandy Branch
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0027,Sandy Branch @ SR22,30.1431,-85.285,01/26/2021,Salinity,0.01,PSU,Sandy Branch
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0027,Sandy Branch @ SR22,30.1431,-85.285,03/04/2021,Salinity,0.01,PSU,Sandy Branch
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0027,Sandy Branch @ SR22,30.1431,-85.285,07/26/2021,Salinity,0.01,PSU,Sandy Branch
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0027,Sandy Branch @ SR22,30.1431,-85.285,09/13/2021,Salinity,0.01,PSU,Sandy Branch
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0027,Sandy Branch @ SR22,30.1431,-85.285,01/31/2022,Salinity,0.01,PSU,Sandy Branch
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0027,Sandy Branch @ SR22,30.1431,-85.285,06/06/2022,Salinity,0.01,PSU,Sandy Branch
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0015,Boggy Creek @ SR22,30.15289999,-85.5427,07/08/2021,Salinity,0.01,PSU,Boggy Creek
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0015,Boggy Creek @ SR22,30.15289999,-85.5427,09/27/2021,Salinity,0.01,PSU,Boggy Creek
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0015,Boggy Creek @ SR22,30.15289999,-85.5427,09/23/2021,Salinity,0.01,PSU,Boggy Creek
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0015,Boggy Creek @ SR22,30.15289999,-85.5427,09/15/2022,Salinity,0.01,PSU,Boggy Creek
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0015,Boggy Creek @ SR22,30.15289999,-85.5427,08/17/2022,Salinity,0.01,PSU,Boggy Creek
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0015,Boggy Creek @ SR22,30.15289999,-85.5427,08/17/2022,Salinity,0.01,PSU,Boggy Creek
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0052,Bayou George upstream John Pitts Rd,30.2479144,-85.50990748,04/07/2022,Salinity,0.01,PSU,Bayou George Creek
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0052,Bayou George upstream John Pitts Rd,30.2479144,-85.50990748,04/07/2022,Salinity,0.01,PSU,Bayou George Creek
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0052,Bayou George upstream John Pitts Rd,30.2479144,-85.50990748,07/18/2022,Salinity,0.01,PSU,Bayou George Creek
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0052,Bayou George upstream John Pitts Rd,30.2479144,-85.50990748,07/18/2022,Salinity,0.01,PSU,Bayou George Creek
CHOCTAWHATCHEE BASIN ALLIANCE,WAL-TRESCA-1,"Tresca Lake (north side, closer to Lakewood)",30.3071,-86.0908,05/16/2019,Salinity,0.01,PSU,Tresca Lake
CHOCTAWHATCHEE BASIN ALLIANCE,WAL-TRESCA-2,"Tresca Lake (south side, closer to beach, further from Lakew",30.30757,-86.09046,09/09/2023,Salinity,0.01,PSU,Tresca Lake
CHOCTAWHATCHEE BASIN ALLIANCE,WAL-TRESCA-2,"Tresca Lake (south side, closer to beach, further from Lakew",30.30757,-86.09046,09/09/2023,Salinity,0.01,PSU,Tresca Lake
ST. ANDREW BAY RESOURCE MANAGEMENT ASSOCIATION INC.,BAY-CROOKED KB-1,Bay-Crooked-Kelly-Branch-1,30.33469999,-85.8206,04/27/2016,Salinity,0.01,PSU,Crooked Creek
ST. ANDREW BAY RESOURCE MANAGEMENT ASSOCIATION INC.,BAY-CROOKED KB-1,Bay-Crooked-Kelly-Branch-1,30.33469999,-85.8206,04/27/2016,Salinity,0.01,PSU,Crooked Creek
ST. ANDREW BAY RESOURCE MANAGEMENT ASSOCIATION INC.,BAY-CROOKED KB-3,Bay-Crooked-Kelly-Branch-3,30.33569999,-85.8216,04/27/2016,Salinity,0.01,PSU,Crooked Creek
ST. ANDREW BAY RESOURCE MANAGEMENT ASSOCIATION INC.,BAY-CROOKED KB-3,Bay-Crooked-Kelly-Branch-3,30.33569999,-85.8216,04/27/2016,Salinity,0.01,PSU,Crooked Creek
FDEP NORTHWEST REGIONAL OPERATIONS CENTER,G3NW0201,"Lake Merial, Center",30.38871,-85.67649,06/12/2019,Salinity,0.01,PSU,Merial Lake
FDEP NORTHWEST REGIONAL OPERATIONS CENTER,G3NW0201,"Lake Merial, Center",30.38871,-85.67649,06/12/2019,Salinity,0.01,PSU,Merial Lake
FDEP NORTHWEST REGIONAL OPERATIONS CENTER,G3NW0201,"Lake Merial, Center",30.38871,-85.67649,06/09/2021,Salinity,0.01,PSU,Merial Lake
FDEP NORTHWEST REGIONAL OPERATIONS CENTER,G3NW0201,"Lake Merial, Center",30.38871,-85.67649,06/09/2021,Salinity,0.01,PSU,Merial Lake
FDEP NORTHWEST REGIONAL OPERATIONS CENTER,G3NW0201,"Lake Merial, Center",30.38871,-85.67649,06/09/2021,Salinity,0.01,PSU,Merial Lake
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0014,Merial Lake Center,30.3891,-85.6762,01/13/2020,Salinity,0.01,PSU,Merial Lake
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0014,Merial Lake Center,30.3891,-85.6762,11/14/2019,Salinity,0.01,PSU,Merial Lake
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0014,Merial Lake Center,30.3891,-85.6762,01/13/2020,Salinity,0.01,PSU,Merial Lake
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0014,Merial Lake Center,30.3891,-85.6762,11/14/2019,Salinity,0.01,PSU,Merial Lake
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0014,Merial Lake Center,30.3891,-85.6762,08/19/2020,Salinity,0.01,PSU,Merial Lake
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0014,Merial Lake Center,30.3891,-85.6762,08/04/2020,Salinity,0.01,PSU,Merial Lake
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0014,Merial Lake Center,30.3891,-85.6762,08/19/2020,Salinity,0.01,PSU,Merial Lake
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0014,Merial Lake Center,30.3891,-85.6762,08/04/2020,Salinity,0.01,PSU,Merial Lake
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0014,Merial Lake Center,30.3891,-85.6762,07/15/2020,Salinity,0.01,PSU,Merial Lake
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0014,Merial Lake Center,30.3891,-85.6762,07/15/2020,Salinity,0.01,PSU,Merial Lake
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0014,Merial Lake Center,30.3891,-85.6762,12/09/2021,Salinity,0.01,PSU,Merial Lake
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0014,Merial Lake Center,30.3891,-85.6762,07/28/2021,Salinity,0.01,PSU,Merial Lake
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0014,Merial Lake Center,30.3891,-85.6762,07/28/2021,Salinity,0.01,PSU,Merial Lake
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0014,Merial Lake Center,30.3891,-85.6762,07/28/2021,Salinity,0.01,PSU,Merial Lake
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0014,Merial Lake Center,30.3891,-85.6762,12/21/2021,Salinity,0.01,PSU,Merial Lake
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0014,Merial Lake Center,30.3891,-85.6762,12/13/2021,Salinity,0.01,PSU,Merial Lake
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0014,Merial Lake Center,30.3891,-85.6762,01/05/2022,Salinity,0.01,PSU,Merial Lake
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0014,Merial Lake Center,30.3891,-85.6762,12/09/2021,Salinity,0.01,PSU,Merial Lake
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0014,Merial Lake Center,30.3891,-85.6762,01/05/2022,Salinity,0.01,PSU,Merial Lake
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0014,Merial Lake Center,30.3891,-85.6762,12/13/2021,Salinity,0.01,PSU,Merial Lake
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0014,Merial Lake Center,30.3891,-85.6762,12/21/2021,Salinity,0.01,PSU,Merial Lake
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0014,Merial Lake Center,30.3891,-85.6762,12/09/2021,Salinity,0.01,PSU,Merial Lake
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0014,Merial Lake Center,30.3891,-85.6762,12/13/2021,Salinity,0.01,PSU,Merial Lake
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0014,Merial Lake Center,30.3891,-85.6762,01/05/2022,Salinity,0.01,PSU,Merial Lake
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0014,Merial Lake Center,30.3891,-85.6762,12/21/2021,Salinity,0.01,PSU,Merial Lake
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0014,Merial Lake Center,30.3891,-85.6762,04/07/2022,Salinity,0.01,PSU,Merial Lake
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0014,Merial Lake Center,30.3891,-85.6762,04/07/2022,Salinity,0.01,PSU,Merial Lake
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0014,Merial Lake Center,30.3891,-85.6762,04/07/2022,Salinity,0.01,PSU,Merial Lake
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0014,Merial Lake Center,30.3891,-85.6762,06/27/2022,Salinity,0.01,PSU,Merial Lake
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0014,Merial Lake Center,30.3891,-85.6762,06/27/2022,Salinity,0.01,PSU,Merial Lake
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0014,Merial Lake Center,30.3891,-85.6762,10/19/2022,Salinity,0.01,PSU,Merial Lake
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0014,Merial Lake Center,30.3891,-85.6762,11/02/2022,Salinity,0.01,PSU,Merial Lake
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0014,Merial Lake Center,30.3891,-85.6762,10/19/2022,Salinity,0.01,PSU,Merial Lake
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0014,Merial Lake Center,30.3891,-85.6762,11/02/2022,Salinity,0.01,PSU,Merial Lake
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0014,Merial Lake Center,30.3891,-85.6762,11/02/2022,Salinity,0.01,PSU,Merial Lake
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0014,Merial Lake Center,30.3891,-85.6762,10/19/2022,Salinity,0.01,PSU,Merial Lake
FDEP NORTHWEST REGIONAL OPERATIONS CENTER,G3NW0446,Court Martial Lake,30.42249999,-85.7481,09/30/2021,Salinity,0.01,PSU,Court Martial Lake
FDEP NORTHWEST REGIONAL OPERATIONS CENTER,G3NW0446,Court Martial Lake,30.42249999,-85.7481,09/30/2021,Salinity,0.01,PSU,Court Martial Lake
FDEP NORTHWEST REGIONAL OPERATIONS CENTER,G3NW0446,Court Martial Lake,30.42249999,-85.7481,09/30/2021,Salinity,0.01,PSU,Court Martial Lake
FDEP NORTHWEST REGIONAL OPERATIONS CENTER,G3NW0446,Court Martial Lake,30.42249999,-85.7481,09/01/2022,Salinity,0.01,PSU,Court Martial Lake
FDEP NORTHWEST REGIONAL OPERATIONS CENTER,G3NW0446,Court Martial Lake,30.42249999,-85.7481,09/01/2022,Salinity,0.01,PSU,Court Martial Lake
FDEP NORTHWEST REGIONAL OPERATIONS CENTER,G3NW0446,Court Martial Lake,30.42249999,-85.7481,09/01/2022,Salinity,0.01,PSU,Court Martial Lake
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0012,Crystal Lake Center,30.4531,-85.7027,07/01/2019,Salinity,0.01,PSU,Crystal Lake
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0012,Crystal Lake Center,30.4531,-85.7027,04/11/2019,Salinity,0.01,PSU,Crystal Lake
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0012,Crystal Lake Center,30.4531,-85.7027,04/11/2019,Salinity,0.01,PSU,Crystal Lake
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0012,Crystal Lake Center,30.4531,-85.7027,07/01/2019,Salinity,0.01,PSU,Crystal Lake
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0012,Crystal Lake Center,30.4531,-85.7027,08/08/2019,Salinity,0.01,PSU,Crystal Lake
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0012,Crystal Lake Center,30.4531,-85.7027,10/28/2019,Salinity,0.01,PSU,Crystal Lake
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0012,Crystal Lake Center,30.4531,-85.7027,01/13/2020,Salinity,0.01,PSU,Crystal Lake
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0012,Crystal Lake Center,30.4531,-85.7027,01/13/2020,Salinity,0.01,PSU,Crystal Lake
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0012,Crystal Lake Center,30.4531,-85.7027,10/28/2019,Salinity,0.01,PSU,Crystal Lake
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0012,Crystal Lake Center,30.4531,-85.7027,11/14/2019,Salinity,0.01,PSU,Crystal Lake
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0012,Crystal Lake Center,30.4531,-85.7027,11/14/2019,Salinity,0.01,PSU,Crystal Lake
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0012,Crystal Lake Center,30.4531,-85.7027,08/08/2019,Salinity,0.01,PSU,Crystal Lake
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0012,Crystal Lake Center,30.4531,-85.7027,08/04/2020,Salinity,0.01,PSU,Crystal Lake
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0012,Crystal Lake Center,30.4531,-85.7027,07/13/2020,Salinity,0.01,PSU,Crystal Lake
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0012,Crystal Lake Center,30.4531,-85.7027,07/13/2020,Salinity,0.01,PSU,Crystal Lake
